stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
947,Ashland & Winthrop SE,ASHLAND AVE & WINTHROP ST,41.667515,-83.554447,,,,,,0
948,Auburn & Baxter SE,AUBURN AVE & BAXTER ST,41.66918,-83.579081,,,,,,0
949,Auburn & Delaware SE,AUBURN AVE & W DELAWARE AVE,41.670563,-83.579213,,,,,,0
950,Auburn & Macomber NW,AUBURN AVE & MACOMBER ST,41.66637,-83.57916,,,,,,0
951,Ayers & Delaware NW,AYERS AVE & W DELAWARE AVE,41.671004,-83.574482,,,,,,0
952,Ayers & Palmetto NW,AYERS AVE & PALMETTO AVE,41.672724,-83.574545,,,,,,0
953,Bancroft & Audubon SW,W BANCROFT ST & AUDUBON PL,41.662825,-83.621475,,,,,,0
954,Bancroft & Auburn NE,W BANCROFT ST & AUBURN AVE,41.663657,-83.57573,,,,,,0
955,Bancroft & Auburn SW,W BANCROFT ST & AUBURN AVE,41.663502,-83.579346,,,,,,0
956,Bancroft & Cheltenham NE,2000 W BANCROFT ST,41.663302,-83.611351,,,,,,0
957,Bancroft & Chestnut NE,E BANCROFT ST & CHESTNUT ST,41.667837,-83.530558,,,,,,0
958,Bancroft & Chestnut SE,E BANCROFT ST & CHESTNUT ST,41.667806,-83.530466,,,,,,0
959,Bancroft & Clinton NE,W BANCROFT ST & CLINTON ST,41.663546,-83.583911,,,,,,0
960,Bancroft & Clinton SW,W BANCROFT ST & CLINTON ST,41.66344,-83.584812,,,,,,0
961,Bancroft & Detroit NE,W BANCROFT ST & N DETROIT AVE,41.663762,-83.570043,,,,,,0
962,Bancroft & Detroit SW,W BANCROFT ST & N DETROIT AVE,41.663582,-83.571888,,,,,,0
963,Bancroft & Dundas NE,W BANCROFT ST & DUNDAS RD,41.662641,-83.642058,,,,,,0
965,Bancroft & Evansdale NE,W BANCROFT ST & EVANSDALE AVE,41.663337,-83.598928,,,,,,0
966,Bancroft & Evansdale SW,W BANCROFT ST & EVANSDALE AVE,41.663247,-83.600984,,,,,,0
967,Bancroft & Goddard SW,W BANCROFT ST & GODDARD RD,41.662984,-83.613826,,,,,,0
968,Bancroft & Greenway NW,W BANCROFT ST & WYNDHURST RD,41.663308,-83.603629,,,,,,0
969,Bancroft & Greenway SW,W BANCROFT ST & WYNDHURST RD,41.663211,-83.604262,,,,,,0
970,Bancroft & Hawthorne NE,W BANCROFT ST & HAWTHORNE ST,41.663615,-83.579454,,,,,,0
971,Bancroft & Irvington NE,W BANCROFT ST & IRVINGTON PL,41.663575,-83.581881,,,,,,0
972,Bancroft & Isherwood NE,W BANCROFT ST & ISHERWOOD AVE,41.663503,-83.586048,,,,,,0
973,Bancroft & Lagrange NW,E BANCROFT ST & LAGRANGE ST,41.66635,-83.533916,,,,,,0
974,Bancroft & Lagrange SW,E BANCROFT ST & LAGRANGE ST,41.666233,-83.533844,,,,,,0
975,Bancroft & Lorle NE,W BANCROFT ST & LORLE ST,41.663727,-83.571795,,,,,,0
976,Bancroft & Miles SW,W BANCROFT ST & MILES AVE,41.663507,-83.581713,,,,,,0
977,Bancroft & Meadowwood NE,W BANCROFT ST & MEADOWWOOD DR,41.663155,-83.614766,,,,,,0
978,Bancroft & Middlesex NW,W BANCROFT ST & MIDDLESEX DR,41.663056,-83.618303,,,,,,0
979,Bancroft & Middlesex SW,W BANCROFT ST & MIDDLESEX DR,41.662933,-83.61875,,,,,,0
980,Bancroft & Pemberton NE,W BANCROFT ST & PEMBERTON DR,41.663023,-83.619355,,,,,,0
981,Bancroft & Perth NE,W BANCROFT ST & PERTH ST,41.663331,-83.601258,,,,,,0
982,Bancroft & Parkside NE DISCONTINUED,W BANCROFT ST & PARKSIDE BLVD,41.663409,-83.593761,,,,,,0
983,Bancroft & Parkwood NE,W BANCROFT ST & PARKWOOD AVE,41.663972,-83.556831,,,,,,0
984,Bancroft & Parkwood SW,W BANCROFT ST & PARKWOOD AVE,41.66388,-83.55753,,,,,,0
985,Bancroft & Robinwood NE,W BANCROFT ST & ROBINWOOD AVE,41.663898,-83.560272,,,,,,0
986,Bancroft & Robinwood SW,W BANCROFT ST & ROBINWOOD AVE,41.663732,-83.560947,,,,,,0
987,Bancroft & Richmond SW,W BANCROFT ST & RICHMOND RD,41.663264,-83.592467,,,,,,0
988,Bancroft & Rosewood NE,W BANCROFT ST & ROSEWOOD AVE,41.663794,-83.566283,,,,,,0
989,Bancroft & Rosewood SW,W BANCROFT ST & ROSEWOOD AVE,41.663657,-83.56719,,,,,,0
990,Bancroft & Secor NE,W BANCROFT ST & SECOR RD,41.662932,-83.620605,,,,,,0
991,Bancroft & Shenandoah SW,W BANCROFT ST & SHENANDOAH RD,41.663304,-83.590362,,,,,,0
992,Bancroft & Sylvan NE,W BANCROFT ST & SYLVAN AVE,41.663694,-83.572856,,,,,,0
993,Bancroft & Sylvan SW,W BANCROFT ST & SYLVAN AVE,41.663584,-83.573673,,,,,,0
994,Bancroft & Torrey Hill NE,W BANCROFT ST & TORREY HILL DR,41.663457,-83.590838,,,,,,0
995,Bancroft & UT Hall,W BANCROFT ST & CAMPUS RD,41.662882,-83.616556,,,,,,0
996,Bancroft & Walnut NE,E BANCROFT ST & WALNUT ST,41.665259,-83.536349,,,,,,0
997,Bancroft & Walnut SW,E BANCROFT ST & WALNUT ST,41.664697,-83.537003,,,,,,0
998,Bancroft & Westwood NE,2000 W BANCROFT ST,41.663253,-83.607691,,,,,,0
999,Bancroft & Westwood SE,W BANCROFT ST & N WESTWOOD AVE,41.663157,-83.607614,,,,,,0
1001,Bancroft & Whitehall SW,W BANCROFT ST & WHITEHALL RD,41.662098,-83.632768,,,,,,0
1002,Broadway & Alden SW,BROADWAY ST & ALDEN CT,41.621746,-83.573876,,,,,,0
1003,Broadway & Amherst SW,BROADWAY ST & AMHERST DR,41.615339,-83.582284,,,,,,0
1004,Broadway & Balfe NE,BROADWAY ST & BALFE ST,41.627666,-83.561132,,,,,,0
1005,Broadway & Colburn NW,BROADWAY ST & COLBURN ST,41.630043,-83.557724,,,,,,0
1006,Broadway & Colburn SE,BROADWAY ST & COLBURN ST,41.629533,-83.558315,,,,,,0
1007,Broadway & Crittenden NW,BROADWAY ST & CRITTENDEN AVE,41.633559,-83.552754,,,,,,0
1008,Broadway & Courtland SE,BROADWAY ST & COURTLAND AVE,41.636131,-83.548735,,,,,,0
1009,Broadway & Field SE,BROADWAY ST & FIELD AVE,41.632546,-83.553944,,,,,,0
1010,Broadway & Foraker NW,BROADWAY ST & SALEM ST,41.621499,-83.574389,,,,,,0
1011,Broadway & Hawley NE,BROADWAY ST & S HAWLEY ST,41.62472,-83.567369,,,,,,0
1012,Broadway & Hawley SW,BROADWAY ST & S HAWLEY ST,41.624581,-83.56757,,,,,,0
1013,Broadway & Harding SW,BROADWAY ST & HARDING DR,41.626626,-83.56312,,,,,,0
1014,Broadway & Maumee NE,BROADWAY ST & JERVIS ST,41.63557,-83.549882,,,,,,0
1015,Broadway & Knower NW,BROADWAY ST & KNOWER ST,41.631793,-83.555275,,,,,,0
1016,Broadway & Knower SE,BROADWAY ST & KNOWER ST,41.631455,-83.555497,,,,,,0
1017,Broadway & Knapp SE,BROADWAY ST & KNAPP ST,41.640167,-83.543013,,,,,,0
1018,Broadway & Logan NW,BROADWAY ST & LOGAN ST,41.639042,-83.544935,,,,,,0
1019,Broadway & Logan SE,BROADWAY ST & LOGAN ST,41.638548,-83.545347,,,,,,0
1020,Broadway & Maumee SW,BROADWAY ST & MAUMEE AVE,41.634761,-83.550791,,,,,,0
1021,Broadway & Newton NW,BROADWAY ST & NEWTON ST,41.639939,-83.543627,,,,,,0
1022,Broadway & Newton SE,BROADWAY ST & NEWTON ST,41.6393,-83.54428,,,,,,0
1023,Broadway & Orchard NE,BROADWAY ST & ORCHARD ST,41.628128,-83.560227,,,,,,0
1024,Broadway & Princeton NE,BROADWAY ST & PRINCETON DR,41.614694,-83.583365,,,,,,0
1025,Broadway & Princeton SW,BROADWAY ST & PRINCETON DR,41.614314,-83.583598,,,,,,0
1026,Broadway & Prouty NW,BROADWAY ST & PROUTY AVE,41.628979,-83.559233,,,,,,0
1027,Broadway & South NW,BROADWAY ST & SOUTH AVE,41.631248,-83.556,,,,,,0
1028,Broadway & South SE,BROADWAY ST & SOUTH AVE,41.630592,-83.556702,,,,,,0
1029,Broadway & Stebbins NE,BROADWAY ST & STEBBINS ST,41.626081,-83.564537,,,,,,0
1030,Broadway & Stebbins SW,BROADWAY ST & STEBBINS ST,41.625638,-83.565132,,,,,,0
1031,Broadway & St James NE,BROADWAY ST & ST JAMES CT,41.619778,-83.576691,,,,,,0
1032,Broadway & St James SW,BROADWAY ST & ST JAMES CT,41.619285,-83.577191,,,,,,0
1033,Broadway & Shadowlawn NW,BROADWAY ST & SHADOWLAWN DR,41.618019,-83.579002,,,,,,0
1034,Broadway & University NE,BROADWAY ST & UNIVERSITY BLVD,41.61538,-83.582469,,,,,,0
1035,Broadway & Waterworks NW,BROADWAY ST & WATERWORKS DR,41.623279,-83.570769,,,,,,0
1036,Broadway & Waterworks SW,BROADWAY ST & WATERWORKS DR,41.623191,-83.570508,,,,,,0
1037,Broadway & Yale NE,BROADWAY ST & YALE DR,41.613925,-83.584284,,,,,,0
1038,Broadway & Yale SW,BROADWAY ST & YALE DR,41.613431,-83.584782,,,,,,0
